Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
    4.90,      2992.8222170557,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009989285,     57579.4211686478,         1.4423540119,        -0.0000002071,      -473.7136374943
    5.00,      2992.6779538288,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009989078,     57532.0915012746,         1.4426322475,        -0.0000002068,      -473.2966666789
    5.10,      2992.5336627736,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009988872,     57484.8034870555,         1.4429105297,        -0.0000002065,      -472.8801351450
    5.20,      2992.3893438856,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009988666,     57437.5570821290,         1.4431888586,        -0.0000002062,      -472.4640422244
    5.30,      2992.2449971601,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009988460,     57390.3522427006,         1.4434672342,        -0.0000002059,      -472.0483872504
    5.40,      2992.1006225923,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009988254,     57343.1889250420,         1.4437456565,        -0.0000002056,      -471.6331695580
    5.50,      2991.9562201775,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009988049,     57296.0670854914,         1.4440241257,        -0.0000002054,      -471.2183884837
    5.60,      2991.8117899112,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009987844,     57248.9866804533,         1.4443026416,        -0.0000002051,      -470.8040433657
    5.70,      2991.6673317886,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009987639,     57201.9476663980,         1.4445812043,        -0.0000002048,      -470.3901335436
    5.80,      2991.5228458051,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009987434,     57154.9499998618,         1.4448598138,        -0.0000002045,      -469.9766583586
    5.90,      2991.3783319559,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009987230,     57107.9936374468,         1.4451384702,        -0.0000002042,      -469.5636171536
    6.00,      2991.2337902364,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009987026,     57061.0785358204,         1.4454171735,        -0.0000002040,      -469.1510092728
    6.10,      2991.0892206419,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009986822,     57014.2046517157,         1.4456959236,        -0.0000002037,      -468.7388340621
    6.20,      2990.9446231677,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009986619,     56967.3719419310,         1.4459747206,        -0.0000002034,      -468.3270908690
    6.30,      2990.7999978091,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009986416,     56920.5803633295,         1.4462535646,        -0.0000002031,      -467.9157790424
    6.40,      2990.6553445614,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009986213,     56873.8298728396,         1.4465324556,        -0.0000002028,      -467.5048979329
    6.50,      2990.5106634199,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009986010,     56827.1204274543,         1.4468113935,        -0.0000002026,      -467.0944468923
    6.60,      2990.3659543799,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009985808,     56780.4519842315,         1.4470903784,        -0.0000002023,      -466.6844252742
    6.70,      2990.2212174367,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009985606,     56733.8245002933,         1.4473694103,        -0.0000002020,      -466.2748324337
    6.80,      2990.0764525856,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009985404,     56687.2379328263,         1.4476484892,        -0.0000002017,      -465.8656677274
    6.90,      2989.9316598219,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009985203,     56640.6922390814,         1.4479276152,        -0.0000002015,      -465.4569305132
